Users,Meals,Meals per user,timestamp
173,37,0.213872832369942,Wed Mar 07 12:00:11 -0500 2012
173,52,0.300578034682081,Thu Mar 08 12:00:11 -0500 2012
173,63,0.364161849710983,Fri Mar 09 12:00:11 -0500 2012
177,75,0.423728813559322,Sat Mar 10 12:00:11 -0500 2012
177,83,0.468926553672316,Sun Mar 11 12:00:11 -0400 2012
177,100,0.564971751412429,Mon Mar 12 12:00:11 -0400 2012
177,109,0.615819209039548,Tue Mar 13 12:00:11 -0400 2012
177,124,0.700564971751412,Wed Mar 14 12:00:11 -0400 2012
177,127,0.717514124293785,Thu Mar 15 12:00:11 -0400 2012
177,129,0.728813559322034,Fri Mar 16 12:00:11 -0400 2012
177,131,0.740112994350282,Sat Mar 17 12:00:12 -0400 2012
177,131,0.740112994350282,Sun Mar 18 12:00:12 -0400 2012
177,132,0.745762711864407,Mon Mar 19 12:00:12 -0400 2012
177,132,0.745762711864407,Tue Mar 20 12:00:11 -0400 2012
177,132,0.745762711864407,Wed Mar 21 12:00:11 -0400 2012
177,132,0.745762711864407,Thu Mar 22 12:00:11 -0400 2012
177,132,0.745762711864407,Fri Mar 23 12:00:11 -0400 2012
177,133,0.751412429378531,Sat Mar 24 12:00:11 -0400 2012
177,137,0.774011299435028,Sun Mar 25 12:00:11 -0400 2012
177,138,0.779661016949153,Mon Mar 26 12:00:11 -0400 2012
177,140,0.790960451977401,Tue Mar 27 12:00:11 -0400 2012
177,143,0.807909604519774,Wed Mar 28 12:00:11 -0400 2012
177,147,0.830508474576271,Thu Mar 29 12:00:12 -0400 2012
177,153,0.864406779661017,Fri Mar 30 12:00:11 -0400 2012
177,154,0.870056497175141,Sat Mar 31 12:00:11 -0400 2012
177,161,0.909604519774011,Sun Apr 01 12:00:11 -0400 2012
177,162,0.915254237288136,Mon Apr 02 12:00:05 -0400 2012
177,164,0.926553672316384,Tue Apr 03 12:00:05 -0400 2012
177,166,0.937853107344633,Wed Apr 04 12:00:06 -0400 2012
177,167,0.943502824858757,Thu Apr 05 12:00:05 -0400 2012
177,169,0.954802259887006,Fri Apr 06 12:00:05 -0400 2012
177,171,0.966101694915254,Sat Apr 07 12:00:05 -0400 2012
177,172,0.971751412429379,Sun Apr 08 12:00:05 -0400 2012
177,172,0.971751412429379,Mon Apr 09 12:00:05 -0400 2012
177,178,1.00564971751412,Tue Apr 10 12:00:06 -0400 2012
177,179,1.01129943502825,Wed Apr 11 12:00:05 -0400 2012
177,182,1.02824858757062,Thu Apr 12 12:00:06 -0400 2012
177,182,1.02824858757062,Fri Apr 13 12:00:05 -0400 2012
177,183,1.03389830508475,Sat Apr 14 12:00:05 -0400 2012
177,187,1.05649717514124,Sun Apr 15 12:00:06 -0400 2012
177,189,1.06779661016949,Mon Apr 16 12:00:06 -0400 2012
177,190,1.07344632768362,Tue Apr 17 12:00:05 -0400 2012
177,191,1.07909604519774,Wed Apr 18 12:00:05 -0400 2012
177,194,1.09604519774011,Thu Apr 19 12:00:05 -0400 2012
177,196,1.10734463276836,Fri Apr 20 12:00:05 -0400 2012
177,196,1.10734463276836,Sat Apr 21 12:00:05 -0400 2012
177,196,1.10734463276836,Sun Apr 22 12:00:05 -0400 2012
177,198,1.11864406779661,Mon Apr 23 12:00:05 -0400 2012
177,199,1.12429378531073,Tue Apr 24 12:00:05 -0400 2012
177,202,1.14124293785311,Wed Apr 25 12:00:05 -0400 2012
177,203,1.14689265536723,Thu Apr 26 12:00:05 -0400 2012
177,204,1.15254237288136,Fri Apr 27 12:00:06 -0400 2012
177,208,1.17514124293785,Sat Apr 28 12:00:06 -0400 2012
177,223,1.25988700564972,Sun Apr 29 12:00:06 -0400 2012
177,225,1.27118644067797,Mon Apr 30 12:00:05 -0400 2012
177,225,1.27118644067797,Tue May 01 12:00:06 -0400 2012
177,228,1.28813559322034,Wed May 02 12:00:05 -0400 2012
177,228,1.28813559322034,Thu May 03 12:00:05 -0400 2012
177,229,1.29378531073446,Fri May 04 12:00:05 -0400 2012
177,229,1.29378531073446,Sat May 05 12:00:06 -0400 2012
177,229,1.29378531073446,Sun May 06 12:00:07 -0400 2012
